            nuclides,             nuclides,        activity (Bq),                grams,      alpha heat (kW),       beta heat (kW),      gamma heat (kW), cumulative time (secs),       is irradiation
                Zn72,                 Zn72,                706.9,            2.039e-14,                  0.0,            1.165e-14,            1.727e-14,             345600.0,                    0
                Ga66,                 Ga66,         5155000000.0,            2.782e-08,                  0.0,            8.061e-07,            2.031e-06,             345600.0,                    0
                Ga67,                 Ga67,       625400000000.0,            2.825e-05,                  0.0,            3.605e-06,            1.595e-05,             345600.0,                    0
                Ga68,                 Ga68,        24450000000.0,            1.615e-08,                  0.0,            2.898e-06,            3.725e-06,             345600.0,                    0
                Ga69,                 Ga69,                  0.0,            0.0001442,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Ga71,                 Ga71,                  0.0,            5.285e-05,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Ga72,                 Ga72,            1353000.0,            1.183e-11,                  0.0,            1.098e-10,            5.863e-10,             345600.0,                    0
               Ga72m,                Ga72m,                23.55,             1.61e-22,                  0.0,                  0.0,            4.516e-16,             345600.0,                    0
                Ga73,                 Ga73,                63.98,            1.956e-16,                  0.0,            4.579e-15,            3.495e-15,             345600.0,                    0
                Ge66,                 Ge66,               0.7128,            9.161e-19,                  0.0,            1.109e-17,            7.704e-17,             345600.0,                    0
                Ge68,                 Ge68,        24440000000.0,            9.311e-05,                  0.0,            1.858e-08,            1.622e-08,             345600.0,                    0
                Ge69,                 Ge69,      1376000000000.0,            3.194e-05,                  0.0,            2.644e-05,            0.0002095,             345600.0,                    0
                Ge70,                 Ge70,                  0.0,            0.0003127,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Ge71,                 Ge71,      2047000000000.0,            0.0003435,                  0.0,            1.685e-06,            1.379e-06,             345600.0,                    0
                Ge72,                 Ge72,                  0.0,            0.0003369,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Ge73,                 Ge73,                  0.0,            5.134e-05,                  0.0,                  0.0,                  0.0,             345600.0,                    0
               Ge73m,                Ge73m,                63.04,            5.496e-21,                  0.0,            5.402e-16,            1.108e-16,             345600.0,                    0
                Ge74,                 Ge74,                  0.0,            2.079e-06,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Ge76,                 Ge76,            1.924e-16,            1.744e-09,                  0.0,            6.284e-32,                  0.0,             345600.0,                    0
                Ge77,                 Ge77,              31000.0,            2.324e-13,                  0.0,            3.189e-12,            5.356e-12,             345600.0,                    0
                As71,                 As71,      5383000000000.0,             0.000215,                  0.0,            9.988e-05,             0.000496,             345600.0,                    0
                As72,                 As72,      6119000000000.0,            9.869e-05,                  0.0,              0.00102,             0.001746,             345600.0,                    0
                As73,                 As73,      1330000000000.0,             0.001612,                  0.0,            1.229e-05,            3.381e-06,             345600.0,                    0
                As74,                 As74,        67370000000.0,            1.833e-05,                  0.0,            2.896e-06,              8.2e-06,             345600.0,                    0
                As75,                 As75,                  0.0,             0.000193,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                As76,                 As76,         1847000000.0,            3.171e-08,                  0.0,            3.148e-07,            1.242e-07,             345600.0,                    0
                As77,                 As77,         1443000000.0,            3.718e-08,                  0.0,            5.214e-08,            1.922e-09,             345600.0,                    0
                Se72,                 Se72,      5117000000000.0,            0.0006399,                  0.0,            1.841e-05,            2.816e-05,             345600.0,                    0
                Se73,                 Se73,        29380000000.0,            1.321e-07,                  0.0,             1.82e-06,            5.131e-06,             345600.0,                    0
                Se74,                 Se74,                  0.0,               0.0044,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Se75,                 Se75,      4364000000000.0,             0.008097,                  0.0,            1.024e-05,            0.0002728,             345600.0,                    0
                Se76,                 Se76,                  0.0,              0.01388,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Se77,                 Se77,                  0.0,              0.02071,                  0.0,                  0.0,                  0.0,             345600.0,                    0
               Se77m,                Se77m,      5205000000000.0,            1.665e-08,                  0.0,            6.082e-05,            7.406e-05,             345600.0,                    0
                Se78,                 Se78,                  0.0,              0.00259,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Se79,                 Se79,              42340.0,            9.523e-05,                  0.0,            3.565e-13,                  0.0,             345600.0,                    0
                Se80,                 Se80,                  0.0,            9.653e-05,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Se82,                 Se82,            1.332e-14,            9.982e-09,                  0.0,            6.392e-30,                  0.0,             345600.0,                    0
                Br75,                 Br75,              0.09785,            1.019e-19,                  0.0,            8.281e-18,            1.872e-17,             345600.0,                    0
                Br76,                 Br76,     56730000000000.0,            0.0006018,                  0.0,             0.005891,              0.02469,             345600.0,                    0
                Br77,                 Br77,    252600000000000.0,             0.009559,                  0.0,            0.0003228,              0.01291,             345600.0,                    0
                Br79,                 Br79,                  0.0,              0.07924,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Br80,                 Br80,           75070000.0,            1.518e-11,                  0.0,            8.708e-09,            9.262e-10,             345600.0,                    0
               Br80m,                Br80m,           70080000.0,             2.13e-10,                  0.0,            6.934e-10,            2.724e-10,             345600.0,                    0
                Br81,                 Br81,                  0.0,             0.001302,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Br82,                 Br82,      3691000000000.0,            9.211e-05,                  0.0,            8.439e-05,              0.00156,             345600.0,                    0
                Br83,                 Br83,                1.222,            2.097e-18,                  0.0,            6.368e-17,            1.346e-18,             345600.0,                    0
                Kr76,                 Kr76,      9545000000000.0,            9.254e-05,                  0.0,            8.258e-06,            0.0006499,             345600.0,                    0
                Kr78,                 Kr78,            9.839e-08,              0.06375,                  0.0,            4.487e-23,                  0.0,             345600.0,                    0
                Kr79,                 Kr79,    576800000000000.0,              0.01376,                  0.0,             0.002276,              0.02382,             345600.0,                    0
                Kr80,                 Kr80,                  0.0,               0.1876,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Kr81,                 Kr81,          255500000.0,               0.3282,                  0.0,            2.204e-10,            3.017e-10,             345600.0,                    0
                Kr82,                 Kr82,                  0.0,               0.2117,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Kr83,                 Kr83,                  0.0,              0.02663,                  0.0,                  0.0,                  0.0,             345600.0,                    0
               Kr83m,                Kr83m,    448900000000000.0,            0.0005875,                  0.0,             0.002814,             0.000194,             345600.0,                    0
                Kr84,                 Kr84,                  0.0,             0.009969,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Kr85,                 Kr85,        14990000000.0,             0.001034,                  0.0,            5.477e-07,            5.369e-09,             345600.0,                    0
               Kr85m,                Kr85m,           29040000.0,            9.528e-11,                  0.0,            1.183e-09,            7.324e-10,             345600.0,                    0
                Kr86,                 Kr86,                  0.0,            2.198e-06,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Rb80,                 Rb80,                 3.94,            2.565e-20,                  0.0,            1.284e-15,            7.473e-16,             345600.0,                    0
                Rb81,                 Rb81,        50740000000.0,             1.62e-07,                  0.0,            1.512e-06,            5.252e-06,             345600.0,                    0
                Rb82,                 Rb82,    847900000000000.0,            1.271e-05,                  0.0,               0.1918,               0.1506,             345600.0,                    0
               Rb82m,                Rb82m,       924100000000.0,            4.225e-06,                  0.0,            1.178e-05,              0.00043,             345600.0,                    0
                Rb83,                 Rb83,    602800000000000.0,               0.8918,                  0.0,            0.0008341,              0.04791,             345600.0,                    0
                Rb84,                 Rb84,    114800000000000.0,              0.06683,                  0.0,              0.00265,              0.01633,             345600.0,                    0
                Rb85,                 Rb85,                  0.0,               0.1651,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Rb86,                 Rb86,     77110000000000.0,              0.02556,                  0.0,             0.008107,             0.001159,             345600.0,                    0
                Rb87,                 Rb87,                28.18,             0.008906,                  0.0,            3.689e-16,                  0.0,             345600.0,                    0
                Sr80,                 Sr80,                3.919,            4.786e-18,                  0.0,            3.981e-17,            3.054e-16,             345600.0,                    0
                Sr82,                 Sr82,    847800000000000.0,               0.3673,                  0.0,            0.0006848,             0.001067,             345600.0,                    0
                Sr83,                 Sr83,   5085000000000000.0,               0.1179,                  0.0,               0.1214,               0.6324,             345600.0,                    0
                Sr84,                 Sr84,                  0.0,                1.711,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Sr85,                 Sr85,   1959000000000000.0,                2.232,                  0.0,             0.002738,               0.1628,             345600.0,                    0
                Sr86,                 Sr86,                  0.0,                3.222,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Sr87,                 Sr87,                  0.0,                2.237,                  0.0,                  0.0,                  0.0,             345600.0,                    0
               Sr87m,                Sr87m,            3457000.0,            7.296e-12,                  0.0,            3.686e-11,            1.777e-10,             345600.0,                    0
                Sr88,                 Sr88,                  0.0,               0.4488,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Sr89,                 Sr89,            1.714e-07,            1.595e-22,                  0.0,            1.606e-23,            2.387e-27,             345600.0,                    0
                 Y85,                  Y85,            2276000.0,            4.468e-12,                  0.0,            1.812e-10,            4.653e-10,             345600.0,                    0
                Y85m,                 Y85m,       382900000000.0,            1.363e-06,                  0.0,            3.509e-05,            8.307e-05,             345600.0,                    0
                 Y86,                  Y86,   3369000000000000.0,              0.03679,                  0.0,               0.1174,                1.927,             345600.0,                    0
                 Y87,                  Y87,            2.732e+16,                1.645,                  0.0,              0.02959,                2.005,             345600.0,                    0
                Y87m,                 Y87m,   1808000000000000.0,              0.01812,                  0.0,              0.02267,              0.08886,             345600.0,                    0
                 Y88,                  Y88,   1370000000000000.0,                2.659,                  0.0,              0.00139,               0.5917,             345600.0,                    0
                 Y89,                  Y89,                  0.0,                957.0,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Y89m,                 Y89m,   1211000000000000.0,             4.04e-06,                  0.0,             0.001406,               0.1749,             345600.0,                    0
                 Y90,                  Y90,            0.0001271,            6.307e-21,                  0.0,            1.895e-20,            5.849e-23,             345600.0,                    0
                Zr86,                 Zr86,    342700000000000.0,              0.00419,                  0.0,             0.001664,               0.0162,             345600.0,                    0
                Zr87,                 Zr87,                12.99,            1.636e-17,                  0.0,            1.719e-15,            1.959e-15,             345600.0,                    0
                Zr88,                 Zr88,    313300000000000.0,               0.4732,                  0.0,             0.000704,              0.01967,             345600.0,                    0
                Zr89,                 Zr89,   1212000000000000.0,              0.07289,                  0.0,              0.01802,              0.04932,             345600.0,                    0
                Zr90,                 Zr90,                  0.0,             0.002525,                  0.0,                  0.0,                  0.0,             345600.0,                    0
               Zr90m,                Zr90m,          320100000.0,            5.571e-14,                  0.0,            8.307e-10,            1.181e-07,             345600.0,                    0
                Zr91,                 Zr91,                  0.0,            1.324e-12,                  0.0,                  0.0,                  0.0,             345600.0,                    0
                Nb89,                 Nb89,              0.04086,             6.36e-20,                  0.0,            7.233e-18,            8.933e-18,             345600.0,                    0
                Nb90,                 Nb90,          326200000.0,            3.691e-09,                  0.0,            2.048e-08,            1.025e-07,             345600.0,                    0
                Nb91,                 Nb91,                382.1,            1.786e-09,                  0.0,              3.6e-16,            7.693e-16,             345600.0,                    0
               Nb91m,                Nb91m,            1018000.0,            1.167e-09,                  0.0,            1.525e-11,            6.205e-12,             345600.0,                    0
                Mo90,                 Mo90,                31.25,            1.347e-16,                  0.0,            1.004e-15,            4.096e-15,             345600.0,                    0
                Mo92,                 Mo92,            1.363e-21,            1.799e-15,                  0.0,              3.6e-37,                  0.0,             345600.0,                    0
                Mo93,                 Mo93,            3.109e-11,            8.735e-22,                  0.0,            2.534e-29,            5.343e-29,             345600.0,                    0
                  H1,                   H1,                  0.0,               0.2443,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                  H2,                   H2,                  0.0,              0.03614,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                  H3,                   H3,      4007000000000.0,              0.01127,                  0.0,            3.664e-06,                  0.0,             432000.0,                    0
                 He3,                  He3,                  0.0,              0.01731,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                 He4,                  He4,                  0.0,              0.04405,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                 C12,                  C12,                  0.0,            6.715e-23,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                 C13,                  C13,                  0.0,            3.164e-23,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                 N14,                  N14,                  0.0,            5.819e-23,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                 N15,                  N15,                  0.0,            3.792e-22,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                 O16,                  O16,                  0.0,            1.476e-21,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                 O17,                  O17,                  0.0,            5.411e-22,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                 O18,                  O18,                  0.0,            7.883e-22,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                 F19,                  F19,                  0.0,            2.314e-21,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ne20,                 Ne20,                  0.0,                2e-20,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ne21,                 Ne21,                  0.0,            1.757e-20,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ne22,                 Ne22,                  0.0,            1.313e-20,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Na22,                 Na22,            6.078e-06,             2.63e-20,                  0.0,            1.891e-22,            2.135e-21,             432000.0,                    0
                Na23,                 Na23,                  0.0,            1.415e-19,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Na24,                 Na24,            5.684e-05,            1.759e-22,                  0.0,            5.052e-21,            3.753e-20,             432000.0,                    0
                Mg24,                 Mg24,                  0.0,            5.758e-19,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Mg25,                 Mg25,                  0.0,            6.274e-19,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Mg26,                 Mg26,                  0.0,             1.01e-18,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Al26,                 Al26,            3.171e-10,            4.467e-19,                  0.0,            2.027e-26,            1.359e-25,             432000.0,                    0
                Al27,                 Al27,                  0.0,            4.719e-18,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Si28,                 Si28,                  0.0,            1.467e-17,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Si29,                 Si29,                  0.0,            8.786e-18,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Si30,                 Si30,                  0.0,             1.89e-17,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Si32,                 Si32,            9.977e-07,            3.183e-19,                  0.0,            1.034e-23,                  0.0,             432000.0,                    0
                 P31,                  P31,                  0.0,            5.807e-17,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                 P32,                  P32,               0.2854,            2.695e-17,                  0.0,            3.168e-17,             7.82e-20,             432000.0,                    0
                 P33,                  P33,              0.04573,            7.922e-18,                  0.0,            5.597e-19,                  0.0,             432000.0,                    0
                 S32,                  S32,                  0.0,            1.588e-16,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                 S33,                  S33,                  0.0,            3.019e-16,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                 S34,                  S34,                  0.0,            6.185e-16,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                 S35,                  S35,              0.08839,            5.587e-17,                  0.0,              6.9e-19,                  0.0,             432000.0,                    0
                 S36,                  S36,                  0.0,            1.874e-17,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Cl35,                 Cl35,                  0.0,            1.374e-15,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Cl36,                 Cl36,            1.239e-06,            1.014e-15,                  0.0,            5.423e-23,            3.639e-27,             432000.0,                    0
                Cl37,                 Cl37,                  0.0,            1.013e-15,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ar36,                 Ar36,                  0.0,            2.398e-15,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ar37,                 Ar37,                 20.8,            5.577e-15,                  0.0,            6.498e-18,            7.428e-19,             432000.0,                    0
                Ar38,                 Ar38,                  0.0,            1.511e-14,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ar39,                 Ar39,              0.00274,            2.171e-15,                  0.0,            9.597e-20,                  0.0,             432000.0,                    0
                Ar40,                 Ar40,                  0.0,            7.741e-16,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ar42,                 Ar42,            0.0001279,            1.339e-17,                  0.0,            4.771e-21,                  0.0,             432000.0,                    0
                 K39,                  K39,                  0.0,            2.655e-14,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                 K40,                  K40,            7.431e-09,             2.84e-14,                  0.0,            5.398e-25,            1.855e-25,             432000.0,                    0
                 K41,                  K41,                  0.0,            1.367e-14,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                 K42,                  K42,               0.8574,            3.835e-18,                  0.0,            1.952e-16,            3.791e-17,             432000.0,                    0
                 K43,                  K43,                1.851,            1.522e-17,                  0.0,            9.179e-17,            2.865e-16,             432000.0,                    0
                Ca40,                 Ca40,                  0.0,            3.827e-14,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ca41,                 Ca41,            0.0003859,            1.231e-13,                  0.0,            1.758e-22,            2.703e-23,             432000.0,                    0
                Ca42,                 Ca42,                  0.0,             3.04e-13,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ca43,                 Ca43,                  0.0,            5.877e-13,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ca44,                 Ca44,                  0.0,            8.504e-13,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ca45,                 Ca45,                3.167,            4.803e-15,                  0.0,            3.917e-17,            4.842e-24,             432000.0,                    0
                Ca46,                 Ca46,                  0.0,            1.547e-15,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ca47,                 Ca47,               0.5854,            2.582e-17,                  0.0,            3.232e-17,            9.946e-17,             432000.0,                    0
                Ca48,                 Ca48,            7.568e-24,            1.454e-18,                  0.0,            2.648e-39,            5.699e-41,             432000.0,                    0
                Sc43,                 Sc43,            0.0001683,            2.426e-22,                  0.0,            1.132e-20,            2.656e-20,             432000.0,                    0
                Sc44,                 Sc44,               3638.0,            5.475e-15,                  0.0,            3.474e-13,            1.245e-12,             432000.0,                    0
               Sc44m,                Sc44m,               3431.0,            7.623e-14,                  0.0,            1.804e-14,            1.513e-13,             432000.0,                    0
                Sc45,                 Sc45,                  0.0,            3.308e-12,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Sc46,                 Sc46,                221.9,            1.768e-13,                  0.0,            3.984e-15,            7.143e-14,             432000.0,                    0
                Sc47,                 Sc47,               1265.0,            4.121e-14,                  0.0,            3.296e-14,            2.198e-14,             432000.0,                    0
                Sc48,                 Sc48,                 90.0,            1.625e-15,                  0.0,            3.166e-15,             4.83e-14,             432000.0,                    0
                Ti44,                 Ti44,                2.309,            4.604e-13,                  0.0,            3.932e-18,            5.115e-17,             432000.0,                    0
                Ti46,                 Ti46,                  0.0,            9.789e-12,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ti47,                 Ti47,                  0.0,            2.087e-11,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ti48,                 Ti48,                  0.0,            1.474e-11,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ti49,                 Ti49,                  0.0,            2.271e-12,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ti50,                 Ti50,                  0.0,            1.324e-13,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                 V48,                  V48,             234400.0,            3.716e-11,                  0.0,            5.606e-12,            1.095e-10,             432000.0,                    0
                 V49,                  V49,              35750.0,            1.195e-10,                  0.0,            2.052e-14,            5.424e-15,             432000.0,                    0
                 V50,                  V50,            3.824e-14,            2.022e-11,                  0.0,            9.607e-32,            8.722e-30,             432000.0,                    0
                 V51,                  V51,                  0.0,            8.221e-11,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Cr48,                 Cr48,              13400.0,            1.195e-13,                  0.0,            1.766e-14,              9.3e-13,             432000.0,                    0
                Cr50,                 Cr50,            4.181e-13,            2.842e-10,                  0.0,            7.819e-29,                  0.0,             432000.0,                    0
                Cr51,                 Cr51,            1934000.0,            5.648e-10,                  0.0,            1.135e-12,            1.013e-11,             432000.0,                    0
                Cr52,                 Cr52,                  0.0,            1.055e-09,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Cr53,                 Cr53,                  0.0,            4.746e-11,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Cr54,                 Cr54,                  0.0,            1.999e-11,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Mn51,                 Mn51,              0.04029,            1.363e-20,                  0.0,            6.036e-18,             6.44e-18,             432000.0,                    0
                Mn52,                 Mn52,            5803000.0,            3.491e-10,                  0.0,            6.653e-11,            3.218e-09,             432000.0,                    0
               Mn52m,                Mn52m,                625.4,            9.899e-17,                  0.0,            1.135e-13,            2.413e-13,             432000.0,                    0
                Mn53,                 Mn53,               0.2247,             3.31e-09,                  0.0,            1.441e-19,            5.121e-20,             432000.0,                    0
                Mn54,                 Mn54,             339500.0,            1.183e-09,                  0.0,             2.19e-13,            4.547e-11,             432000.0,                    0
                Mn55,                 Mn55,                  0.0,            4.829e-10,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Fe51,                 Fe51,              0.03419,            7.637e-20,             6.43e-21,            1.791e-17,            5.819e-18,             432000.0,                    0
                Fe52,                 Fe52,                598.7,            2.219e-15,                  0.0,            1.842e-14,             7.12e-14,             432000.0,                    0
                Fe54,                 Fe54,                  0.0,            5.456e-09,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Fe55,                 Fe55,            1187000.0,            1.349e-08,                  0.0,            7.616e-13,             3.16e-13,             432000.0,                    0
                Fe56,                 Fe56,                  0.0,            1.185e-08,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Fe57,                 Fe57,                  0.0,             2.79e-09,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Fe58,                 Fe58,                  0.0,            2.256e-09,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Fe59,                 Fe59,             126500.0,            6.866e-11,                  0.0,            2.399e-12,             2.41e-11,             432000.0,                    0
                Fe60,                 Fe60,            0.0004301,            2.923e-12,                  0.0,            3.522e-21,                  0.0,             432000.0,                    0
                Co55,                 Co55,            3902000.0,            3.241e-11,                  0.0,             2.73e-10,            1.255e-09,             432000.0,                    0
                Co56,                 Co56,           19930000.0,            1.784e-08,                  0.0,            3.903e-10,            1.147e-08,             432000.0,                    0
                Co57,                 Co57,           18390000.0,             5.89e-08,                  0.0,             5.39e-11,            3.689e-10,             432000.0,                    0
                Co58,                 Co58,           43880000.0,            3.729e-08,                  0.0,            2.412e-10,            6.863e-09,             432000.0,                    0
               Co58m,                Co58m,             439900.0,            1.956e-12,                  0.0,             1.57e-12,             1.28e-13,             432000.0,                    0
                Co59,                 Co59,                  0.0,            1.291e-08,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Co60,                 Co60,             124500.0,            2.973e-09,                  0.0,             1.93e-12,            4.994e-11,             432000.0,                    0
                Ni56,                 Ni56,            6085000.0,            4.281e-10,                  0.0,            6.963e-12,            1.678e-09,             432000.0,                    0
                Ni57,                 Ni57,           47630000.0,            8.397e-10,                  0.0,            1.195e-09,            1.481e-08,             432000.0,                    0
                Ni58,                 Ni58,            2.333e-14,            7.154e-08,                  0.0,            7.199e-30,                  0.0,             432000.0,                    0
                Ni59,                 Ni59,                559.7,            1.895e-07,                  0.0,            4.145e-16,            2.281e-16,             432000.0,                    0
                Ni60,                 Ni60,                  0.0,            4.038e-07,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ni61,                 Ni61,                  0.0,             8.06e-07,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ni62,                 Ni62,                  0.0,            2.385e-06,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ni63,                 Ni63,               4938.0,            2.363e-09,                  0.0,            1.379e-14,                  0.0,             432000.0,                    0
                Ni64,                 Ni64,                  0.0,            5.553e-08,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Ni66,                 Ni66,               3094.0,            9.571e-14,                  0.0,            3.234e-14,                  0.0,             432000.0,                    0
                Cu61,                 Cu61,                6.852,              1.2e-17,                  0.0,             3.39e-16,            9.041e-16,             432000.0,                    0
                Cu62,                 Cu62,           42970000.0,             3.73e-12,                  0.0,            8.833e-09,            6.966e-09,             432000.0,                    0
                Cu63,                 Cu63,                  0.0,            5.717e-06,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Cu64,                 Cu64,           18570000.0,              1.3e-10,                  0.0,            3.745e-10,            5.655e-10,             432000.0,                    0
                Cu65,                 Cu65,                  0.0,            2.774e-07,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Cu66,                 Cu66,               3099.0,            1.498e-16,                  0.0,            5.316e-13,            4.065e-14,             432000.0,                    0
                Cu67,                 Cu67,             821200.0,            2.934e-11,                  0.0,            2.048e-11,            1.518e-11,             432000.0,                    0
                Zn62,                 Zn62,           42220000.0,            2.088e-10,                  0.0,            2.174e-10,            2.998e-09,             432000.0,                    0
                Zn64,                 Zn64,            1.106e-09,            1.229e-05,                  0.0,            1.942e-25,                  0.0,             432000.0,                    0
                Zn65,                 Zn65,         5550000000.0,            1.821e-05,                  0.0,            5.952e-09,            5.177e-07,             432000.0,                    0
                Zn66,                 Zn66,                  0.0,            3.246e-05,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Zn67,                 Zn67,                  0.0,            4.329e-05,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Zn68,                 Zn68,                  0.0,             8.92e-06,                  0.0,                  0.0,                  0.0,             432000.0,                    0
                Zn69,                 Zn69,             150000.0,            8.384e-14,                  0.0,            7.762e-12,            1.443e-16,             432000.0,                    0
