            nuclides,             nuclides,        activity (Bq),                grams,      alpha heat (kW),       beta heat (kW),      gamma heat (kW), cumulative time (secs),       is irradiation
                Ti42,                 Ti42,               1797.0,            3.596e-20,             2.92e-16,            7.594e-13,            3.987e-13,                 60.0,                    1
                Ti43,                 Ti43,             145200.0,             7.61e-18,                  0.0,            6.136e-11,            2.797e-11,                 60.0,                    1
                Ti44,                 Ti44,               0.1344,             2.68e-14,                  0.0,            2.288e-19,            2.977e-18,                 60.0,                    1
                Ti45,                 Ti45,             123300.0,            1.472e-13,                  0.0,            7.374e-12,            1.722e-11,                 60.0,                    1
                Ti46,                 Ti46,                  0.0,            6.046e-13,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ti47,                 Ti47,                  0.0,            5.265e-13,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ti48,                 Ti48,                  0.0,            3.782e-13,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ti49,                 Ti49,                  0.0,            6.624e-14,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ti50,                 Ti50,                  0.0,            7.892e-15,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ti51,                 Ti51,               7891.0,            3.352e-16,                  0.0,            1.099e-12,            4.609e-13,                 60.0,                    1
                Ti52,                 Ti52,                313.1,            3.974e-18,                  0.0,            3.785e-14,            6.441e-15,                 60.0,                    1
                Ti53,                 Ti53,                0.962,             3.99e-21,                  0.0,            2.173e-16,            3.036e-16,                 60.0,                    1
                 V44,                  V44,               6079.0,            7.108e-20,             2.91e-15,            4.236e-12,            4.408e-12,                 60.0,                    1
                 V45,                  V45,             640800.0,            3.721e-17,             1.07e-13,             2.93e-10,             1.05e-10,                 60.0,                    1
                 V46,                  V46,           36630000.0,            1.704e-15,                  0.0,            1.652e-08,            5.996e-09,                 60.0,                    1
                 V47,                  V47,            4002000.0,            8.804e-13,                  0.0,            5.149e-10,            6.379e-10,                 60.0,                    1
                 V48,                  V48,              18540.0,            2.939e-12,                  0.0,            4.433e-13,             8.66e-12,                 60.0,                    1
                 V49,                  V49,               1462.0,            4.889e-12,                  0.0,            8.394e-16,            2.218e-16,                 60.0,                    1
                 V50,                  V50,            2.802e-15,            1.481e-12,                  0.0,            7.039e-33,             6.39e-31,                 60.0,                    1
                 V51,                  V51,                  0.0,            5.307e-13,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                 V52,                  V52,            1515000.0,            4.237e-14,                  0.0,            2.584e-10,            3.516e-10,                 60.0,                    1
                 V53,                  V53,             459900.0,             5.67e-15,                  0.0,            7.406e-11,            7.675e-11,                 60.0,                    1
                 V54,                  V54,              19950.0,            1.284e-16,                  0.0,             4.34e-12,             1.31e-11,                 60.0,                    1
                 V55,                  V55,                142.5,            1.227e-19,                  0.0,             5.44e-14,            1.574e-14,                 60.0,                    1
                Cr45,                 Cr45,                39.99,            2.154e-22,             4.88e-15,            2.501e-14,            2.501e-14,                 60.0,                    1
                Cr46,                 Cr46,              17620.0,            5.044e-19,              3.3e-15,            8.719e-12,            2.885e-12,                 60.0,                    1
                Cr47,                 Cr47,            3097000.0,            1.742e-16,             5.42e-13,            1.495e-09,            5.086e-10,                 60.0,                    1
                Cr48,                 Cr48,              49690.0,            4.431e-13,                  0.0,            6.546e-14,            3.448e-12,                 60.0,                    1
                Cr49,                 Cr49,           14710000.0,            4.338e-12,                  0.0,            1.406e-09,            2.469e-09,                 60.0,                    1
                Cr50,                 Cr50,            3.295e-14,            2.239e-11,                  0.0,            6.162e-30,                  0.0,                 60.0,                    1
                Cr51,                 Cr51,             113500.0,            3.315e-11,                  0.0,            6.663e-14,            5.948e-13,                 60.0,                    1
                Cr52,                 Cr52,                  0.0,            3.045e-11,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Cr53,                 Cr53,                  0.0,            3.862e-12,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Cr54,                 Cr54,                  0.0,            5.316e-13,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Cr55,                 Cr55,            1626000.0,            4.545e-14,                  0.0,            2.856e-10,            1.105e-12,                 60.0,                    1
                Cr56,                 Cr56,              38860.0,            1.856e-15,                  0.0,            3.777e-12,            5.709e-13,                 60.0,                    1
                Cr57,                 Cr57,                602.4,            1.734e-18,                  0.0,            1.881e-13,            4.461e-14,                 60.0,                    1
                Cr58,                 Cr58,                15.01,            1.458e-20,                  0.0,             3.27e-15,             3.27e-15,                 60.0,                    1
                Mn47,                 Mn47,                64.79,            7.292e-22,             6.29e-16,            4.174e-14,            4.174e-14,                 60.0,                    1
                Mn48,                 Mn48,              68620.0,            1.247e-18,             4.16e-14,            4.937e-11,            4.937e-11,                 60.0,                    1
                Mn49,                 Mn49,            8104000.0,            3.631e-16,             1.45e-12,            4.031e-09,            1.421e-09,                 60.0,                    1
                Mn50,                 Mn50,          121900000.0,            4.142e-15,             2.12e-11,            6.056e-08,            1.995e-08,                 60.0,                    1
               Mn50m,                Mn50m,           43540000.0,            5.471e-13,                  0.0,            1.158e-08,            3.334e-08,                 60.0,                    1
                Mn51,                 Mn51,           60220000.0,            2.037e-11,                  0.0,             9.02e-09,            9.625e-09,                 60.0,                    1
                Mn52,                 Mn52,             944400.0,            5.681e-11,                  0.0,            1.083e-11,            5.237e-10,                 60.0,                    1
               Mn52m,                Mn52m,          183700000.0,            2.908e-11,                  0.0,            3.335e-08,             7.09e-08,                 60.0,                    1
                Mn53,                 Mn53,              0.01503,            2.214e-10,                  0.0,            9.636e-21,            3.424e-21,                 60.0,                    1
                Mn54,                 Mn54,              29780.0,            1.038e-10,                  0.0,            1.921e-14,            3.989e-12,                 60.0,                    1
                Mn55,                 Mn55,                  0.0,            3.763e-11,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Mn56,                 Mn56,            5185000.0,             6.46e-12,                  0.0,            6.822e-10,            1.421e-09,                 60.0,                    1
                Mn57,                 Mn57,           43490000.0,            5.067e-13,                  0.0,            7.695e-09,            6.943e-10,                 60.0,                    1
                Mn58,                 Mn58,            2154000.0,             1.95e-14,                  0.0,            5.907e-10,            8.222e-10,                 60.0,                    1
               Mn58m,                Mn58m,           12380000.0,            4.641e-15,                  0.0,            5.612e-09,            2.382e-10,                 60.0,                    1
                Mn59,                 Mn59,              26890.0,            1.743e-17,                  0.0,            8.875e-12,            2.318e-12,                 60.0,                    1
                Mn60,                 Mn60,                32.67,            2.393e-19,             6.36e-18,             2.01e-14,                  0.0,                 60.0,                    1
               Mn60m,                Mn60m,                131.8,            3.387e-20,                  0.0,            5.742e-14,            5.678e-14,                 60.0,                    1
                Mn61,                 Mn61,                2.815,            2.753e-22,                  0.0,            1.468e-15,            5.875e-17,                 60.0,                    1
                Fe49,                 Fe49,                494.8,            4.063e-21,             1.13e-13,            2.782e-13,            2.782e-13,                 60.0,                    1
                Fe50,                 Fe50,             145200.0,            2.694e-18,                  0.0,            6.318e-11,            6.318e-11,                 60.0,                    1
                Fe51,                 Fe51,              38400.0,            8.579e-14,             7.22e-15,            2.012e-11,            6.536e-12,                 60.0,                    1
                Fe52,                 Fe52,            1285000.0,            4.763e-12,                  0.0,            3.952e-11,            1.528e-10,                 60.0,                    1
               Fe52m,                Fe52m,            6384000.0,            3.647e-14,                  0.0,            2.027e-09,            4.998e-09,                 60.0,                    1
                Fe53,                 Fe53,         1054000000.0,            6.827e-11,                  0.0,            1.869e-07,                2e-07,                 60.0,                    1
               Fe53m,                Fe53m,          272600000.0,            5.353e-12,                  0.0,                  0.0,            1.325e-07,                 60.0,                    1
                Fe54,                 Fe54,                  0.0,            4.951e-10,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Fe55,                 Fe55,              79830.0,            9.069e-10,                  0.0,            5.121e-14,            2.125e-14,                 60.0,                    1
                Fe56,                 Fe56,                  0.0,            1.005e-09,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Fe57,                 Fe57,                  0.0,            1.867e-10,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Fe58,                 Fe58,                  0.0,            4.471e-11,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Fe59,                 Fe59,              12110.0,            6.572e-12,                  0.0,            2.296e-13,            2.307e-12,                 60.0,                    1
                Fe60,                 Fe60,            3.551e-05,            2.413e-13,                  0.0,            2.907e-22,                  0.0,                 60.0,                    1
                Fe61,                 Fe61,             126600.0,            6.629e-15,                  0.0,            2.139e-11,            2.821e-11,                 60.0,                    1
                Fe62,                 Fe62,                627.9,            6.335e-18,                  0.0,            8.289e-14,            5.091e-14,                 60.0,                    1
                Fe63,                 Fe63,                19.05,            1.752e-20,                  0.0,            7.947e-15,            9.696e-16,                 60.0,                    1
                Fe64,                 Fe64,                1.109,            3.399e-22,                  0.0,            3.743e-16,            2.762e-18,                 60.0,                    1
                Co51,                 Co51,               1220.0,             8.94e-21,                  0.0,            8.441e-13,            8.441e-13,                 60.0,                    1
                Co52,                 Co52,             232400.0,            3.328e-18,                  0.0,            1.366e-10,            1.366e-10,                 60.0,                    1
               Co52m,                Co52m,                25.65,            3.321e-22,                  0.0,            1.013e-14,            1.091e-14,                 60.0,                    1
                Co53,                 Co53,           83490000.0,            2.542e-15,             1.62e-11,            4.544e-08,            1.467e-08,                 60.0,                    1
               Co53m,                Co53m,           20020000.0,            6.272e-16,             7.66e-11,            8.903e-09,            8.903e-09,                 60.0,                    1
                Co54,                 Co54,         3515000000.0,            8.779e-14,             6.66e-10,            1.915e-06,            5.751e-07,                 60.0,                    1
               Co54m,                Co54m,          806200000.0,            9.253e-12,                  0.0,            2.645e-07,            5.077e-07,                 60.0,                    1
                Co55,                 Co55,           43750000.0,            3.634e-10,                  0.0,            3.061e-09,            1.407e-08,                 60.0,                    1
                Co56,                 Co56,            1972000.0,            1.765e-09,                  0.0,            3.862e-11,            1.135e-09,                 60.0,                    1
                Co57,                 Co57,            1561000.0,            5.001e-09,                  0.0,            4.575e-12,            3.132e-11,                 60.0,                    1
                Co58,                 Co58,            1865000.0,            1.585e-09,                  0.0,            1.025e-11,            2.917e-10,                 60.0,                    1
               Co58m,                Co58m,          482100000.0,            2.144e-09,                  0.0,             1.72e-09,            1.403e-10,                 60.0,                    1
                Co59,                 Co59,                  0.0,            1.203e-09,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Co60,                 Co60,               7397.0,            1.767e-10,                  0.0,            1.147e-13,            2.967e-12,                 60.0,                    1
               Co60m,                Co60m,         1111000000.0,            1.002e-10,                  0.0,            9.911e-09,            1.208e-09,                 60.0,                    1
                Co61,                 Co61,           36820000.0,            3.193e-11,                  0.0,            2.751e-09,            5.721e-10,                 60.0,                    1
                Co62,                 Co62,           83010000.0,            1.108e-12,                  0.0,            2.181e-08,            2.128e-08,                 60.0,                    1
               Co62m,                Co62m,           13230000.0,            1.638e-12,                  0.0,            2.142e-09,            5.718e-09,                 60.0,                    1
                Co63,                 Co63,           10590000.0,            4.375e-14,                  0.0,            2.661e-09,            2.445e-10,                 60.0,                    1
                Co64,                 Co64,             125600.0,            5.772e-18,                  0.0,            6.618e-11,            3.646e-12,                 60.0,                    1
                Co65,                 Co65,               1139.0,            2.127e-19,                  0.0,            4.865e-13,            2.094e-14,                 60.0,                    1
                Co66,                 Co66,                11.86,            4.366e-22,             2.22e-18,            6.378e-15,            5.234e-15,                 60.0,                    1
                Ni52,                 Ni52,                 31.0,            1.467e-22,             2.17e-15,            1.713e-14,            1.713e-14,                 60.0,                    1
                Ni53,                 Ni53,              10270.0,            5.867e-20,                  0.0,            2.733e-12,            7.571e-13,                 60.0,                    1
                Ni54,                 Ni54,            1896000.0,            2.548e-17,                  0.0,            8.908e-10,            8.908e-10,                 60.0,                    1
